factor,outcome,pearson_r
ai_access_mean,final_human_interaction_rate,-0.6741998431002704
ai_access_mean,final_ai_use_rate,0.7723108557645931
ai_access_mean,final_mean_quality,-0.022800896039905812
ai_access_mean,final_mean_knowledge,0.016062800173972998
ai_access_mean,final_mean_peer_trust,-0.27696515693632595
ai_access_mean,final_mean_tie_strength,-0.3592883487574173
ai_access_mean,final_recent_active_tie_fraction,-0.6365802529389654
ai_access_mean,final_mean_unique_peer_partners,-0.21085582695924993
ai_access_mean,edge_retention_ratio,
ai_reliability,final_human_interaction_rate,-0.7077517533506427
ai_reliability,final_ai_use_rate,0.599183328094332
ai_reliability,final_mean_quality,0.9338871271130751
ai_reliability,final_mean_knowledge,0.8718012061372873
ai_reliability,final_mean_peer_trust,0.5925169814150145
ai_reliability,final_mean_tie_strength,-0.6225886531805022
ai_reliability,final_recent_active_tie_fraction,-0.6842331481799011
ai_reliability,final_mean_unique_peer_partners,-0.23958880211912717
ai_reliability,edge_retention_ratio,
verification_support,final_human_interaction_rate,0.0002166443404522424
verification_support,final_ai_use_rate,0.09125392305072764
verification_support,final_mean_quality,0.0598618546168457
verification_support,final_mean_knowledge,0.027432424336242784
verification_support,final_mean_peer_trust,0.03750380087386097
verification_support,final_mean_tie_strength,0.026595152811961953
verification_support,final_recent_active_tie_fraction,0.010317301950553349
verification_support,final_mean_unique_peer_partners,-0.017988276394092142
verification_support,edge_retention_ratio,
peer_response_probability,final_human_interaction_rate,0.017320144902408203
peer_response_probability,final_ai_use_rate,-0.016352634056685772
peer_response_probability,final_mean_quality,0.0050036875382522055
peer_response_probability,final_mean_knowledge,0.004411574684831371
peer_response_probability,final_mean_peer_trust,0.04823907557692349
peer_response_probability,final_mean_tie_strength,0.22375580554469557
peer_response_probability,final_recent_active_tie_fraction,0.06122330046564755
peer_response_probability,final_mean_unique_peer_partners,-0.8313129520896931
peer_response_probability,edge_retention_ratio,
